listing_path,location,unit_number,beds,size,rent,sun_exposure_cat,sun_exposure,floor
l-l4njo7ppbf0p,11238,509,1,,4033,No sunlight data,No sunlight data available and the rent is 4033,5
m-g7pk2u6bgdl7,11216,21,0,680.0,2950,Limited natural light,This apartment has limited sunlight and the rent is 2950,2
m-k641hj441qsf,11226,b,1,1000.0,1918,No sunlight data,No sunlight data available and the rent is 1918,
m-7m7ugsdf31rv,11226,2B,1,675.0,2035,No sunlight data,No sunlight data available and the rent is 2035,2
m-5l5sbh0q5cdi,11216,1A,0,0.0,2696,No sunlight data,No sunlight data available and the rent is 2696,1
m-fuijvl2a4kvv,11226,4E,1,500.0,2032,No sunlight data,No sunlight data available and the rent is 2032,4
m-9tfhakmgmkv0,11226,3A,1,593.0,2027,No sunlight data,No sunlight data available and the rent is 2027,3
m-f2aogop6554i,11226,2G,1,700.0,2466,No sunlight data,No sunlight data available and the rent is 2466,2
m-kde19bjr8f4m,11226,2B,1,580.0,2030,No sunlight data,No sunlight data available and the rent is 2030,2
m-eb8nghduno94,11226,4B,1,500.0,2031,No sunlight data,No sunlight data available and the rent is 2031,4
m-gjpbcj3u72fp,11226,4E,1,550.0,2072,No sunlight data,No sunlight data available and the rent is 2072,4
m-9htcac339ik7,11226,2G,1,1000.0,2466,No sunlight data,No sunlight data available and the rent is 2466,2
m-k9oc9i9ffs63,11226,2B,1,1000.0,2029,No sunlight data,No sunlight data available and the rent is 2029,2
m-6kf4148kfddl,11226,4E,1,500.0,2072,No sunlight data,No sunlight data available and the rent is 2072,4
m-cb9vbgu5rn5,11226,4E,1,550.0,2071,No sunlight data,No sunlight data available and the rent is 2071,4
m-au50rkfr98th,11226,2G,1,550.0,2466,No sunlight data,No sunlight data available and the rent is 2466,2
m-fo1rc16js34t,11226,2G,1,500.0,2466,No sunlight data,No sunlight data available and the rent is 2466,2
m-5ttk310iec4s,11226,4B,1,700.0,2500,No sunlight data,No sunlight data available and the rent is 2500,4
m-9p5ku13kfll7,11226,2B,1,700.0,2031,No sunlight data,No sunlight data available and the rent is 2031,2
m-ka79svpaihfr,11230,5C,1,600.0,2375,No sunlight data,No sunlight data available and the rent is 2375,5
m-lblh5t3riqfu,11226,3B,1,500.0,2100,No sunlight data,No sunlight data available and the rent is 2100,3
m-skv7aqh4s5gl,11226,5E,1,500.0,2442,No sunlight data,No sunlight data available and the rent is 2442,5
m-nsn2m4kkq9uv,11216,2B,1,680.0,2500,No sunlight data,No sunlight data available and the rent is 2500,2
m-oj749aepcagp,11216,1F,1,700.0,2400,Limited natural light,This apartment has limited sunlight and the rent is 2400,1
m-1u9m2efnbcup,11238,207,1,9999.0,2400,Limited natural light,This apartment has limited sunlight and the rent is 2400,2
m-cku3fm8oskfo,11238,8B,1,9999.0,2500,No sunlight data,No sunlight data available and the rent is 2500,8
m-2errkn8o62in,11216,1FF,1,0.0,2049,Moderate sunlight,Moderate natural light and the rent is 2049,1
m-7vhvbui4fp5j,11216,7,1,0.0,2025,Limited natural light,Limited natural light and the rent is 2025,7
m-i151fuv22n18,11216,1AA,1,0.0,2099,Limited natural light,Limited natural light and the rent is 2099,1
m-sul0cl5kusbl,11213,PH,1,0.0,2000,No sunlight data,No sunlight data available and the rent is 2000,
m-993pbkgsnc3s,11213,F5,1,0.0,2000,No sunlight data,No sunlight data available and the rent is 2000,5
m-51a9boljs562,11238,4D,1,700.0,2300,Limited natural light,Limited natural light and the rent is 2300,4
m-as4rgiinomc0,11216,2F,1,0.0,2095,Moderate sunlight,Moderate natural light and the rent is 2095,2
m-pjck846pllqe,11216,1B,0,0.0,1650,Moderate sunlight,Moderate natural light and the rent is 1650,1
